CONDITION_CATEGORY,CONDITION,CODE,CODE_TYPE,INCLUSION_TYPE,ADDITIONAL_LOGIC
Other,Cataract,H2609,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Metabolic Disease,Diabetes,E133213,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06361S,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02109B,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Cataract,H26059,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Metabolic Disease,Diabetes,E1129,ICD-10-CM,Include,None
Cancer,Female/Male Breast Cancer,C50519,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S14138S,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72032C,ICD-10-CM,Include,None
Other,Glaucoma,H401414,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S0263XA,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Peripheral Vascular Disease (PVD),I70241,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05061,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8194,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06361A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Epilepsy,G40201,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L98495,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F11950,ICD-10-CM,Include,None
Substance Abuse,Alcohol Use Disorders,F10288,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F1624,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F12220,ICD-10-CM,Include,None
Other,Intellectual Disabilities and Related Conditions,Q921,ICD-10-CM,Include,None
Other,Mobility Impairments,G8384,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I6031,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Other,Pressure and Chronic Ulcers,L89519,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06898A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Hip/Pelvic Fracture,S72123A,ICD-10-CM,Include,None
Viral Hepatitis,Hepatitis B,B1910,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06823A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Migraine and Chronic Headache,G44041,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97402,ICD-10-CM,Include,None
Other,Epilepsy,G40B01,ICD-10-CM,Include,None
Other,Glaucoma,H401421,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Other,Glaucoma,H4043X0,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Other,Pressure and Chronic Ulcers,I70348,ICD-10-CM,Include,None
Other,Fibromyalgia and Chronic Pain and Fatigue,M5412,ICD-10-CM,Include,None
Substance Abuse,Tobacco Use,T65223A,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S062X5A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M19112,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,F11182,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97111,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F1820,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T400X1S,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,T40413A,ICD-10-CM,Include,None
Other,Acquired Hypothyroidism,E02,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06212,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89119,ICD-10-CM,Include,None
Substance Abuse,Alcohol Use Disorders,F10939,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F19182,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E083313,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06308S,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C9392,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E133542,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S3401XS,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32466B,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S24109A,ICD-10-CM,Include,None
Mental Health,Schizophrenia and Other Psychotic Disorders,F209,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T403X1D,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32441B,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32612A,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E093551,ICD-10-CM,Include,None
Substance Abuse,Alcohol Use Disorders,F10139,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F18980,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S14139S,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32424B,ICD-10-CM,Include,None
Other,Anemia,D599,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M0848,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05611,ICD-10-CM,Include,None
Cardiovascular Disease,Ischemic Heart Disease,I25719,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72051C,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06317S,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T402X2A,ICD-10-CM,Include,None
Other,Cataract,H26063,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Substance Abuse,Opioid Use Disorder,T40601D,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M08449,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72002B,ICD-10-CM,Include,None
Other,Mobility Impairments,I69141,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,M10319,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06329S,ICD-10-CM,Include,None
Other,Mobility Impairments,G8220,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72115C,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,G468,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Other,Cystic Fibrosis and Other Metabolic Developmental Disorders,E7250,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M0580,ICD-10-CM,Include,None
Mental Health,Anxiety Disorders,F430,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M19049,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8496,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E083419,ICD-10-CM,Include,None
